Cell	nCount_RNA	nFeature_RNA	Cluster
SRR5960569	234415	5073	3
SRR5960952	399779	5119	8
SRR5959327	9793	650	0
SRR5960335	105385	4157	3
SRR5960548	82846	3540	3
SRR5964960	3286	638	0
SRR5960685	662176	6764	3
SRR5959135	72553	1527	0
SRR5959812	108229	3691	4
SRR5968158	124634	2450	7
SRR5967513	544616	4233	1
SRR5961244	284897	5814	11
SRR5960553	319875	5623	3
SRR5967468	432838	3596	1
SRR5958968	2423936	3848	5
SRR5957335	185753	5819	9
SRR5957372	55678	4799	9
SRR5960540	88597	4852	3
SRR5957475	49698	4989	9
SRR5960642	183419	4687	3
SRR5968124	363636	3997	7
SRR5959016	1804229	4401	5
SRR5960760	581861	6501	3
SRR5959737	490057	6160	10
SRR5959117	38906	1054	0
SRR5958781	10914	2632	5
SRR5960402	156200	5308	3
SRR5957565	64952	4482	9
SRR5957331	1148462	5344	9
SRR5960444	191272	4862	3
SRR5960718	458438	6268	3
SRR5967865	756244	3372	1
SRR5967771	1442885	4984	1
SRR5960340	767496	6473	3
SRR5958902	507843	5548	11
SRR5959931	490931	4688	4
SRR5957427	31232	4380	9
SRR5964721	1336	407	0
SRR5957515	158507	3755	9
SRR5967838	819247	3612	1
SRR5958947	235518	4391	5
SRR5960072	2459204	7794	10
SRR5957530	272345	4267	9
SRR5961153	333239	5433	8
SRR5961089	354888	5297	8
SRR5959844	595849	6516	10
SRR5967799	426659	3387	1
SRR5959864	641009	5401	10
SRR5959955	1442575	5231	4
SRR5958985	18009	2883	5
SRR5959334	63200	1218	0
SRR5967833	603112	2405	1
SRR5960009	760838	7726	10
SRR5959040	1375	289	0
SRR5959869	322522	6356	10
SRR5968023	167182	2315	7
SRR5959971	35878	4019	4
SRR5965002	7035	860	0
SRR5960506	125280	4341	3
SRR5960291	128981	5131	3
SRR5961136	1256278	5176	8
SRR5967696	1010979	3387	1
SRR5968084	50245	1571	7
SRR5957550	59403	3592	9
SRR5960073	140965	4852	10
SRR5959964	240413	5110	4
SRR5958866	2430	725	5
SRR5960681	2050688	6244	3
SRR5957326	82263	4049	9
SRR5967959	813032	5305	1
SRR5957467	21572	3144	9
SRR5960293	7350	1613	3
SRR5960428	494403	4940	3
SRR5960767	895815	5897	3
SRR5959235	10484	618	0
SRR5960159	94085	2797	4
SRR5968180	60754	1272	7
SRR5959080	13809	763	0
SRR5959141	1667	303	0
SRR5960155	451156	5976	10
SRR5958785	147794	4790	11
SRR5959281	9708	731	0
SRR5958699	41300	3120	5
SRR5960667	222672	4806	3
SRR5959841	162857	5016	10
SRR5961422	536983	3747	1
SRR5959749	113165	3526	4
SRR5964716	1420	461	0
SRR5957598	65958	4944	9
SRR5960440	163295	3153	3
SRR5961053	112507	5692	11
SRR5959933	318593	5616	4
SRR5961064	197024	4619	8
SRR5957434	80821	3406	9
SRR5960405	459423	4853	3
SRR5959952	249824	5081	4
SRR5960583	230975	5430	3
SRR5958680	1544483	4409	5
SRR5960139	176442	4085	4
SRR5959192	3421	459	0
SRR5960950	539974	6066	8
SRR5960039	94606	3791	4
SRR5959358	6799	390	0
SRR5968148	746407	2996	7
SRR5958824	152861	4091	5
SRR5957478	86317	4903	9
SRR5964792	1101	359	0
SRR5964950	13103	1046	0
SRR5959793	55164	3588	4
