Cell	nCount_RNA	nFeature_RNA	Cluster
TM_RHC3924__Epithelial__.2749FE	2573835.423929	8603	1
TM_RHC3926__Epithelial__.2749FE	917073.007371565	3757	0
TM_RHC3927__Macrophage__.FFFF55	1818109.00610712	6148	3
TM_RHC3947__Epithelial__.2749FE	2414501.99862248	3260	1
TM_RHC4021__Epithelial__.2749FE	2450372.54242986	5052	1
TM_RHC4123__Epithelial__.2749FE	1560953.99112638	3676	1
TM_RHC4124__Epithelial__.2749FE	3211468.43651322	5838	1
TM_RHC4128__Fibroblast__.FB4E09	1097251.01654416	2988	5
TM_RHC4130__Epithelial__.2749FE	822696.009794674	3211	0
TM_RHC4131__Epithelial__.2749FE	2912684.33619596	6390	1
TM_RHC4144__Epithelial__.2749FE	293902.999432	1187	0
TM_RHC4165__Fibroblast__.FB4E09	1418340.01235146	2030	5
TM_RHC4169__Fibroblast__.FB4E09	937292.574035302	2070	5
TM_RHC4174__Epithelial__.2749FE	3147189.9660102	1816	0
TM_RHC4031__Epithelial__.2749FE	1269179.00343752	2520	0
TM_RHC4045__MastCell__.E596C5	2434670.99679058	2530	2
TM_RHC4050__Epithelial__.2749FE	2770490.9478046	2561	1
TM_RHC4051__Macrophage__.FFFF55	3705631.41526266	3591	3
TM_RHC4053__Tcell__.C6E879	2464675.02740284	2105	2
TM_RHC4065__Epithelial__.2749FE	1790636.03344312	4472	1
TM_RHC4067__Macrophage__.FFFF55	2325307.890603	2204	3
TM_RHC4073__Epithelial__.2749FE	2685737.7854308	3397	1
TM_RHC4075__Epithelial__.2749FE	1173226.01376901	3828	0
TM_RHC4079__Fibroblast__.FB4E09	4251286.75827137	3869	4
TM_RHC4080__Bcell__.7DEA7B	1592703.01927079	1707	0
TM_RHC4083__Bcell__.7DEA7B	2422364.0125321	3395	2
TM_RHC4859__Epithelial__.2749FE	136989.00134932	5223	1
TM_RHC4866__Endothelial__.908DE5	226539.192100122	3173	5
TM_RHC4871__Epithelial__.2749FE	199732.136166946	3577	1
TM_RHC4877__Epithelial__.2749FE	202762.000661071	4147	1
TM_RHC4878__Epithelial__.2749FE	595637.1427632	4281	1
TM_RHC4879__Epithelial__.2749FE	253344.99979482	2831	0
TM_RHC4887__Epithelial__.2749FE	221208.00084074	1263	0
TM_RHC4890__Epithelial__.2749FE	227296.112838519	7316	1
TM_RHC4897__Bcell__.7DEA7B	390918.992127603	1240	4
TM_RHC4902__Epithelial__.2749FE	895515.977975575	5865	1
TM_RHC4915__Epithelial__.2749FE	489746.771248894	4375	1
TM_RHC4916__Epithelial__.2749FE	156727.000217901	2783	0
